,name,station_id,station_location,lat,lng
0,M25 COBHAM MOTORWAY SERVICE AREA,25918,"M25 J9-10, KT11 3DB",51.3042081,-0.4057422
1,ESSO LEATHERHEAD ROAD (HYLANDS GARAGE),9635,"LEATHERHEAD ROAD, KT23 4RQ",51.277581,-0.365992
2,SAINSBURYS COBHAM,880,"PORTSMOUTH ROAD, KT11 1JF",51.33358399999999,-0.4222703
3,SHELL PORTSMOUTH ROAD (SHELL FAIRMILE),883,"PORTSMOUTH ROAD, KT11 1HU",51.3373617,-0.4047303
4,TESCO LEATHERHEAD,186,"OXSHOTT ROAD, KT22 0EF",51.3116633,-0.3354788
5,SHELL EAST HORSLEY (SHELL HORSLEY),7027,"GUILDFORD ROAD, KT24 6TA",51.2623541,-0.4309881
6,ESSO KINGSTON ROAD (RSS KINGSCROFT),185,"KINGSTON ROAD, KT22 7SP",51.3019446,-0.3302396
7,ESSO GIVONS GROVE (RSS LEATHERHEAD),188,"GIVONS GROVE, KT22 8LY",51.2825822,-0.3268569
8,BP A3 RIPLEY BYPASS (WISLEY SOUTH SF CONNECT),5174,"A3 RIPLEY BYPASS, GU23 6PU",51.29295,-0.49001
9,BP A3 RIPLEY BYPASS (WISLEY NORTH SF CONNECT),5173,"A3 RIPLEY BYPASS, GU23 6PT",51.29295,-0.49001
10,SHELL BROOKLANDS ROAD (SHELL ST GEORGES),1314,"BROOKLANDS ROAD, KT13 0RP",51.3465862,-0.4630118
11,SHELL ASHTEAD (SHELL ASHTEAD),1395,"THE STREET, KT21 2AD",51.3089711,-0.3011127
12,BP CHESSINGTON (RUSHETT SF CONNECT),1394,"LEATHERHEAD ROAD, KT9 2NH",51.3383913,-0.3192888
13,TESCO BROOKLANDS EXTRA,1312,"BARNES WALLACE DRIVE, KT13 0XF",51.3448276,-0.4752797
14,TEXACO ESHER ROAD (MOLESIDE SERVICE STATION),1317,"ESHER ROAD, KT12 4JZ",51.3681835,-0.396027
15,SHELL PORTSMOUTH ROAD (SHELL WAITROSE BURNT COMMON),3895,"PORTSMOUTH ROAD, GU23 7JY",51.2818512,-0.513389
16,TEXACO HERSHAM ROAD (WALTON HOUSE SERVICE STATION),183,"HERSHAM ROAD, KT12 1RZ",51.3744774,-0.4077839
17,SHELL OATLANDS DRIVE (SHELL WEYBRIDGE),1315,"OATLANDS DRIVE, KT13 9DJ",51.371327,-0.450129
18,TEXACO LANGLEY VALE ROAD (PARK EPSOM DOWNS SERVICE STATION),17578,"LANGLEY VALE ROAD, KT18 6AP",51.3070157,-0.2707185
19,SHELL ESHER (SHELL HINCHLEY WOOD),1398,"KINGSTON BYPASS ROAD, KT10 9TL",51.3735527,-0.3387764
20,BP DORKING ROAD (WOODCOTE SF CONNECT),1397,"DORKING ROAD, KT18 7JW",51.3283747,-0.2707016
21,ASDA WOKING SHEERWATER,26275,"FORSYTH ROAD, GU21 5SB",51.3314895,-0.5309528000000001
22,TEXACO WOKING (MAYBURY HILL SERVICE STATION),7669,"MAYBURY HILL, GU22 8AA",51.3150266,-0.538369
23,SHELL HIGH STREET (SHELL OLD WOKING),6978,"HIGH STREET, GU22 9LN",51.3025629,-0.5461486
24,JET CHESSINGTON (CHESSINGTON SERVICE STATION),1390,"HOOK ROAD, KT9 1PL",51.3706503,-0.306101
25,ESSO SHEPPERTON (MFG SHEPPERTON),179,"WALTON BRIDGE ROAD, TW17 8NE",51.3920161,-0.4354942
26,TEXACO EWELL (PARK WEST EWELL SERVICE STATION),1400,"RUXLEY LANE, KT19 9EY",51.360621,-0.281115
27,SHELL HOOK ROAD (SHELL ACE OF SPADES),1354,"HOOK ROAD, KT6 5AT",51.375456,-0.303433
28,BP EPSOM ROAD (MERROW SF CONNECT),6228,"EPSOM ROAD, GU1 2RB",51.2460584,-0.5301627
29,SAINSBURYS KILN LANE,1869,"KILN LANE, KT17 1EQ",51.3399732,-0.2569319
30,BP LONDON ROAD (MFG PANTILES),862,"LONDON ROAD, GU4 7HR",51.2590605,-0.5446091
31,BP SHEPPERTON (SHEPPERTON SF CONNECT),1209,"HIGH STREET, TW17 9AU",51.3946091,-0.4483409
32,SAINSBURYS BURPHAM,18219,"CLAY LANE, GU4 7JU",51.26171160000001,-0.5465498999999999
33,SHELL PORTSMOUTH ROAD (MFG LONG DITTON),190,"PORTSMOUTH ROAD, KT7 0XF",51.39023150000001,-0.324028
34,ESSO COBHAM (MFG BEECH),881,"STOKE ROAD, KT11 3AS",51.324725,-0.399429
35,BP GUILDFORD ROAD (MFG SHIRLEY),9634,"GUILDFORD ROAD, KT23 4HB",51.26928789999999,-0.3871439
36,ESSO HIGH STREET (MFG OXSHOTT),1321,"HIGH STREET, KT22 0JR",51.3325435,-0.3565636
37,BP KINGSTON ROAD (LEATHERHEAD SF CONNECT),184,"KINGSTON ROAD, KT22 7BL",51.29823320000001,-0.3303851
38,JET WEST BYFLEET (MFG OYSTER LANE),1311,"OYSTER LANE, KT14 7JH",51.34632300000001,-0.4804754000000001
39,BP HERSHAM ROAD (HKS HALFWAY HOUSE),1319,"HERSHAM ROAD, KT12 5NR",51.3733,-0.40589
40,ESSO WEST BYFLEET (WEST BYFLEET EXPRESS),2577,"OLD WOKING ROAD, KT14 6JA",51.3360474,-0.5063563
41,ESSO LONDON ROAD (RSS PIPPBROOK),3049,"LONDON ROAD, RH4 1JA",51.23766089999999,-0.3246096
42,BP DORKING (DORKING SERVICE CENTRE),5527,"REIGATE ROAD, RH4 1SG",51.2344804,-0.3262643
43,ESSO STATION ROAD (MFG DOWNSIDE),9606,"STATION ROAD, GU5 9LQ",51.221117,-0.4498346
44,BP MOLESEY ROAD (MOLESEY SERVICE STATION),1325,"MOLESEY ROAD, KT12 3PW",51.386731,-0.386635
45,JET WOKING (COLLEGE SERVICE STATION),5866,"COLLEGE ROAD, GU22 8BT",51.3226952,-0.5404492
46,TESCO ADDLESTONE EXTRA,5248,"STATION ROAD, KT15 2AS",51.371996,-0.4887124
47,SHELL ADDLESTONE (SHELL ADDLESTONE),1306,"CHERTSEY ROAD, KT15 2ED",51.376677,-0.492526
48,TEXACO TATTENHAM CRESCENT (TATTENHAM CORNER SERVICE STATION),1818,"TATTENHAM CRESCENT, KT18 5QJ",51.3099524,-0.2417202
49,TEXACO SHELVERS HILL (MFG TADWORTH),1819,"SHELVERS HILL, KT20 5PU",51.297194,-0.2378789
50,ASDA BURGH HEATH AUTOMAT,26230,"REIGATE ROAD, KT20 5NZ",51.3093164,-0.222075
51,SHELL BANSTEAD (SHELL WAITROSE BURGH HEATH),1825,"BRIGHTON ROAD, KT20 6AA",51.3062905,-0.2196261
52,ESSO EPSOM (EWELL EXPRESS),1402,"REIGATE ROAD, KT17 1PG",51.34510179999999,-0.2489555
53,SHELL BUCKLAND (SHELL BUCKLAND),4431,"REIGATE ROAD, RH3 7ET",51.2453632,-0.258669
54,TEXACO BRIGHTON ROAD (PARK MOGADOR SERVICE STATION),1821,"BRIGHTON ROAD, KT20 6SU",51.2708424,-0.2117363
55,BP TADWORTH (OAK TREE SF CONNECT),1824,"BRIGHTON ROAD, KT20 6SY",51.2702524,-0.2121036
56,SHELL EPSOM (SHELL ETWELLE),1388,"EWELL BYPASS, KT17 2PU",51.35452309999999,-0.2467904
57,BP LONDON ROAD (EWELL SF CONNECT),1387,"LONDON ROAD, KT17 2PT",51.35448830000001,-0.2448898
58,SHELL TADWORTH (SHELL OXFORD HOUSE),1823,"BRIGHTON ROAD, KT20 6UP",51.2679744,-0.20807
59,SHELL EWELL (KINGSTON ROAD SERVICE STATION),1389,"KINGSTON ROAD, KT19 0SH",51.36427219999999,-0.258091
60,ESSO REIGATE (RSS REIGATE MANOR),19,"REIGATE HILL, RH2 9PD",51.2500815,-0.202269
61,ESSO CHEAM (CHEAM EXPRESS),1386,"MALDEN ROAD, SM3 8HB",51.3610931,-0.2176894
62,BP ST DUNSTANS HILL (ST DUNSTANS SERVICE STATION),1385,"ST DUNSTANS HILL, SM1 2LW",51.3649307,-0.2140643
63,SAINSBURYS NORTH CHEAM,12511,"LONDON ROAD, SM3 9AA",51.3728248,-0.2247965
64,ESSO SUTTON (NORTH CHEAM EXPRESS),1379,"LONDON ROAD, SM3 9BY",51.3755835,-0.2226046
65,TESCO SUTTON CHEAM EXTRA,12514,"OLDFIELDS ROAD, SM1 2NB",51.3750386,-0.2066696
66,BP BANSTEAD (HIGHFIELD SF CONNECT),1827,"BRIGHTON ROAD, SM7 1AZ",51.3171487,-0.2113205
67,ESSO SURBITON (TOLWORTH EXPRESS),1355,"THE BROADWAY, KT6 7DQ",51.3819423,-0.2835743
68,SHELL SUTTON (SHELL SUTTON),1421,"CHEAM ROAD, SM1 2SS",51.361303,-0.2002391
69,BP BRIGHTON ROAD (MFG SUTTON COURT SERVICE STATION),1419,"BRIGHTON ROAD, SM2 5BN",51.35753,-0.19165
70,BP COULSDON (STAR LANE SERVICE CENTRE),1830,"BRIGHTON LANE, CR5 3EE",51.2933225,-0.1541707
71,ESSO BRIGHTON ROAD (RSS HOOLEY),1831,"BRIGHTON ROAD, CR5 3EG",51.2910656,-0.1543499
72,ESSO CHIPSTEAD VALLEY ROAD (MFG COULSDON),1828,"CHIPSTEAD VALLEY ROAD, CR5 3BR",51.3190227,-0.1494101
73,ESSO HIGH STREET (MFG MERSTHAM),18,"HIGH STREET, RH1 3EA",51.2651377,-0.1526195
74,ESSO LONDON ROAD (MFG GATTON POINT),17,"LONDON ROAD, RH1 2JH",51.2538165,-0.1646841
75,SHELL COULSDON (SHELL OLD COULSDON),1833,"COULSDON ROAD, CR5 1EN",51.30097749999999,-0.1174736
76,TESCO PURLEY EXTRA,172,"PURLEY ROAD, CR8 2HA",51.3359059,-0.1174799
77,SHELL PURLEY (MFG FOXLEY),170,"GODSTONE ROAD, CR8 2DB",51.3359543,-0.1138607
78,ESSO CATERHAM (MFG TOWNEND),1832,"TOWNEND, CR3 5UG",51.2888656,-0.0893876
79,TEXACO CATERHAM (ELITE GARAGES CATERHAM),4982,"HIGH STREET, CR3 5UF",51.2859178,-0.08813349999999999
80,BP WHYTELEAFE (GODSTONE ROAD SF CONNECT),1,"GODSTONE ROAD, CR3 0EG",51.3134521,-0.08190789999999999
81,BP REIGATE (WOODHATCH SERVICE STATION),7979,"DOVER GREEN ROAD, RH2 8BS",51.22366,-0.199526
82,SHELL WHYTELEAFE (SHELL WAITROSE WHYTELEAFE),3,"GODSTONE ROAD, CR3 0BB",51.3041753,-0.0771674
83,ESSO PURLEY WAY (PURLEY WAY SERVICE STATION),1110,"PURLEY WAY, CR0 4RE",51.3642362,-0.11856
84,BP CARSHALTON ROAD (CAMBRIDGE ROAD SF CONNECT),5579,"CARSHALTON ROAD, SM5 3QB",51.3628724,-0.1719899
85,BP REDHILL (HILLSIDE SF CONNECT),23,"BRIGHTON ROAD, RH1 6QS",51.235003,-0.1704445
86,SHELL WALLINGTON (SHELL BUDGENS WALLINGTON),176,"MANOR ROAD, SM6 0DW",51.3620348,-0.1509446
87,ESSO PURLEY (MFG HAYLING DOWN),171,"BRIGHTON ROAD, CR8 2BA",51.344925,-0.105614
88,BP GREEN WRYTHE LANE (WRYTHE SF CONNECT),1414,"GREEN WRYTHE LANE, SM5 2DR",51.37216,-0.16685
89,SHELL CARSHALTON (SHELL ST HELIER),1413,"WRYTHE LANE, SM5 2RU",51.3752447,-0.177376
90,UNBRANDED CATERHAM (GRIFFIN),4,"CROYDON ROAD, CR3 6PN",51.29541580000001,-0.0713287
91,ESSO WARLINGHAM (MFG WARLINGHAM),5,"LIMPSFIELD ROAD, CR6 9LA",51.3090523,-0.05475969999999999
92,SHELL LIMPSFIELD ROAD (SHELL SANDERSTEAD),9,"LIMPSFIELD ROAD, CR2 9LE",51.332304,-0.0756216
93,SHELL BRIGHTON ROAD (BRIGHTON ROAD SERVICE STATION),1116,"BRIGHTON ROAD, CR2 6AJ",51.3521124,-0.0987832
94,ESSO BRIGHTON ROAD (MFG WHITGIFT),1115,"BRIGHTON ROAD, CR2 6EE",51.3587022,-0.09748359999999999
95,ESSO SELSDON PARK ROAD (RSS FORESTDALE),1119,"SELSDON PARK ROAD, CR2 8JT",51.350704,-0.039868
96,SHELL KENT GATE WAY (SHELL ADDINGTON),1121,"KENT GATE WAY, CR0 5AR",51.3570679,-0.0334559
97,ESSO PURLEY WAY (MFG WADDON COURT),1109,"PURLEY WAY, CR0 4NX",51.3698175,-0.1171016
98,ESSO OXTED (RSS OLD OXTED),11613,"HIGH STREET, RH8 9LN",51.25312419999999,-0.013626
99,SHELL OXTED (SHELL OXTED),7188,"CHURCH LANE, RH8 9NB",51.2586226,-0.006660399999999999
100,BP BEDDINGTON LANE (BEDDINGTON LANE SERVICE STATION),1114,"BEDDINGTON LANE, CR0 4TJ",51.373148,-0.131839
101,SAINSBURYS PURLEY WAY,1107,"PURLEY WAY, CR0 3JW",51.3758022,-0.1177948
102,ASDA WALLINGTON AUTOMAT,26017,"MARLOWE WAY, CR0 4XS",51.3768482,-0.1301372
103,TEXACO MAIN ROAD (CO-OP APERFIELD COURT),12366,"MAIN ROAD, TN16 3DX",51.31454919999999,0.033829
104,ESSO SHIRLEY ROAD (CROYDON EXPRESS),12513,"SHIRLEY ROAD, CR0 7ER",51.3817431,-0.0630133
105,SHELL EASTBOURNE ROAD (HKS SOUTH GODSTONE),7983,"EASTBOURNE ROAD, RH9 8EZ",51.2192654,-0.0487881
106,SHELL GODSTONE HILL (SHELL GODSTONE),4435,"GODSTONE HILL, RH9 8AJ",51.254002,-0.06677469999999999
107,BP SOUTH CROYDON (ADDINGTON SF CONNECT),1120,"SELSDON PARK ROAD, CR2 8JH",51.3534224,-0.0377094
108,SHELL PARKWAY (SHELL CROYDON),3669,"PARKWAY, CR0 0LA",51.346016,-0.0199154
109,BP MITCHAM ROAD (MITCHAM ROAD SF CONNECT),1111,"MITCHAM ROAD, CR0 3RU",51.3788072,-0.1109563
110,ESSO LOWER ADDISCOMBE ROAD (ADDISCOMBE EXPRESS),1126,"LOWER ADDISCOMBE ROAD, CR0 6AD",51.37953090000001,-0.0836557
111,BP SHIRLEY ROAD (SHIRLEY SF CONNECT),1122,"SHIRLEY ROAD, CR0 8SS",51.3762152,-0.05916950000000001
112,ESSO WICKHAM ROAD (WEST WICKHAM EXPRESS),1864,"WICKHAM ROAD, CR0 8DN",51.3767062,-0.0341851
113,M25 CLACKET LANE CONNECT MOTORWAY SERVICE AREA EASTBOUND,10619,"M25 J5-6, TN16 2ER",51.273321,0.038413
114,SHELL LEAVES GREEN ROAD (TOLLGATE SERVICE STATION),1838,"LEAVES GREEN ROAD, BR2 6DQ",51.3404,0.030618
115,BP LONDON ROAD (WESTERHAM SERVICE STATION),5657,"LONDON ROAD, TN16 2DJ",51.27403,0.07439
116,SHELL CROYDON ROAD (RAVENSBOURNE SERVICE STATION),165,"CROYDON ROAD, BR2 8HU",51.3671173,0.0385219
117,BP CROFTON ROAD (ROSETTA SF CONNECT),164,"CROFTON ROAD, BR6 8NL",51.3671353,0.0555378
118,SHELL HIGH STREET (SHELL GREEN STREET),1089,"HIGH STREET, BR6 6BJ",51.3515577,0.08963489999999999
119,SHELL STATION APPROACH (PARK HAYES SERVICE STATION),1863,"STATION APPROACH, BR2 7EQ",51.37770930000001,0.0108801
120,TEXACO FARNBOROUGH WAY (PARK FARNBOROUGH HILL SERVICE STATION),1087,"FARNBOROUGH WAY, BR6 7ET",51.3584071,0.08464139999999999
121,SHELL HASTINGS ROAD (SHELL BROMLEY),163,"HASTINGS ROAD, BR2 8NJ",51.374545,0.0445857
122,BP HASTINGS ROAD (TUDOR AUTOS),162,"HASTINGS ROAD, BR2 8NA",51.3775183,0.0437722
123,ESSO SEVENOAKS ROAD (RSS CHIMES),1097,"SEVENOAKS ROAD, BR6 7SE",51.3450376,0.1117552
124,TEXACO SEVENOAKS ROAD (PARK ORPINGTON SERVICE STATION),1091,"SEVENOAKS ROAD, BR6 9JW",51.3668092,0.0953579
125,ESSO LINKS WAY (MFG EDEN PARK),168,"LINKS WAY, BR3 3DG",51.3889723,-0.025684
126,ESSO BROMLEY (BROMLEY EXPRESS),2060,"WESTMORELAND ROAD, BR2 0UJ",51.3925385,0.0024386
127,UNBRANDED BROMLEY (W J KING GARAGES BROMLEY),1084,"BROMLEY COMMON, BR2 9RW",51.39230209999999,0.0320133
128,BP COURT ROAD (GODDINGTON SF CONNECT),1096,"COURT ROAD, BR6 9DA",51.36425,0.1109
129,M25 CLACKET LANE CONNECT MOTORWAY SERVICE AREA WESTBOUND,10620,"M25 J5-6, TN16 2ER",51.273321,0.038413
130,SHELL WEST WICKHAM (MFG WEST WICKHAM),169,"HIGH STREET, BR4 0LU",51.377073,-0.022414
131,UNBRANDED SEVENOAKS (KNOCKHOLT SERVICE STATION),1101,"MAIN ROAD, TN14 7JJ",51.3169648,0.1257035
132,SHELL QUEENSWAY (SHELL WAITROSE PETTS WOOD),1095,"QUEENSWAY, BR5 1DH",51.3876405,0.0744726
133,TESCO SEVENOAKS RIVERHEAD,17726,"AISHER WAY, TN13 2QS",51.2886823,0.1669778
134,SHELL LONDON ROAD (SHELL WAITROSE TUBS HILL),4615,"LONDON ROAD, TN13 1DH",51.27781909999999,0.1797762
135,SAINSBURYS SEVENOAKS,17552,"OTFORD ROAD, TN14 5EG",51.2977733,0.1937143
136,SHELL SEAL ROAD (MFG SEVENOAKS),252,"SEAL ROAD, TN14 5AX",51.28875859999999,0.1998496
137,TEXACO HIGH STREET (ORPINGTON POND SERVICE STATION),1092,"HIGH STREET, BR6 0JG",51.3818391,0.1059276
138,ESSO EDENBRIDGE (MFG CHAMPION),3289,"STATION ROAD, TN8 6HL",51.206103,0.061535
139,CO-OP SWANLEY,1070,"HIGH STREET, BR8 8AF",51.3943902,0.1806758
140,TEXACO WEST KINGSDOWN (PARK TWENTY MILE SERVICE STATION),8108,"LONDON ROAD, TN15 6ET",51.3526299,0.2530428
141,BP SWANLEY (SWANLEY SERVICE STATION),1067,"LONDON ROAD, BR8 7HA",51.40287499999999,0.162545
142,UNBRANDED SWANLEY (W J KING GARAGES SWANLEY),1066,"LONDON ROAD, BR8 7QD",51.4052291,0.1594184
143,UNBRANDED DARTFORD (W J KING GARAGES FARNINGHAM ROAD),11821,"DARTFORD ROAD, DA4 0DX",51.3830945,0.2210531
144,BP SWANLEY BYPASS (RSS SWANLEY),1073,"SWANLEY BYPASS, DA14 5JA",51.409724,0.14376
145,TESCO SIDCUP,1064,"EDGINGTON WAY, DA14 5BN",51.4133533,0.1217581
146,BP SEVENOAKS (MFG ST JOHNS HILL),253,"ST JOHNS HILL, TN13 3NY",51.2859556,0.1953913
147,UNBRANDED EDENBRIDGE (FOUR ELMS FILLING STATION),7250,"FOUR ELMS ROAD, TN8 6NL",51.21463,0.09744069999999999
148,ESSO SEVENOAKS WAY (ST PAULS CRAY EXPRESS),1093,"SEVENOAKS WAY, BR5 3AQ",51.400818,0.113521
149,TEXACO CHIPPERFIELD ROAD (MFG ST PAULS CRAY),1094,"CHIPPERFIELD ROAD, BR5 2QR",51.4058074,0.10455
150,GULF EDENBRIDGE (MILL HILL GARAGE),4627,"MILL HILL, TN8 5DQ",51.1876815,0.0681754
151,ESSO SEVENOAKS (MFG BRACKENHILL),3268,"MAIDSTONE ROAD, TN15 8HG",51.290335,0.311264
152,SHELL LONDON ROAD (SHELL PILGRIMS WAY),7245,"LONDON ROAD, TN15 7RR",51.305174,0.3314938
153,UNBRANDED LONDON ROAD (STATE OIL HILDENBOROUGH SERVICE STATION),18185,"LONDON ROAD, TN11 9ND",51.2285878,0.2213741
154,SHELL LONDON ROAD (PARK WROTHAM HEATH SERVICE STATION),12508,"LONDON ROAD, TN15 7RX",51.2979533,0.3430962
155,JET WEST MALLING (MFG OFFHAM),4147,"LONDON ROAD, ME19 5AL",51.2977486,0.3513873
156,BP TONBRIDGE ROAD (HILDEN SF CONNECT),5654,"TONBRIDGE ROAD, TN11 9BJ",51.2092888,0.2570817
157,TEXACO WROTHAM ROAD (CULVERSTONE SERVICE STATION),7540,"WROTHAM ROAD, DA13 0RF",51.3421922,0.3460252
158,SHELL SHIPBOURNE ROAD (MFG SHIPBOURNE ROAD),5653,"SHIPBOURNE ROAD, TN10 3ED",51.2052304,0.2769948
159,BP HADLOW ROAD EAST (THREE ELMS SERVICE STATION),3266,"HADLOW ROAD EAST, TN11 0AB",51.2137,0.31229
160,SHELL LONGFIELD (LONGFIELD FILLING STATION),17457,"STATION ROAD, DA3 7QD",51.3986367,0.3006561
161,SAINSBURYS TONBRIDGE,9247,"ANGEL LANE, TN9 1SF",51.1922649,0.2751031
162,SHELL QUARRY HILL (SHELL TONBRIDGE),4628,"QUARRY HILL, TN9 2SA",51.1879242,0.2680413
163,BP EDGINGTON WAY (BYPASS SF CONNECT),1063,"EDGINGTON WAY, DA14 5AD",51.41464,0.1252
164,MURCO BEXLEY (JOYDENS WOOD SERVICE STATION),1072,"SUMMERHOUSE DRIVE, DA5 2ES",51.4252068,0.1663342
165,PACE TONBRIDGE (FORGE GARAGE),18037,"HIGH STREET, TN11 8BU",51.16946799999999,0.2360661
166,BP WEST MALLING (PARKFOOT GARAGE),2734,"LONDON ROAD, ME19 5AE",51.30003319999999,0.4061951
167,SHELL HAWLEY ROAD (SHELL HAWLEY),3705,"HAWLEY ROAD, DA1 1PU",51.42902549999999,0.2233819
168,BP SUNBURY (KEMPTON PARK SF CONNECT),1331,"STAINES ROAD EAST, TW16 5AW",51.415699,-0.4046111000000001
169,SHELL EAST MOLESEY (MFG PARKHURST),1326,"HURST ROAD, KT8 1SE",51.4078562,-0.369027
170,TESCO SUNBURY EXTRA,1215,"STAINES ROAD WEST, TW16 7BB",51.4179705,-0.425662
171,TEXACO FELTHAM (PARK FELTHAM HILL SERVICE STATION),1236,"SNAKEY LANE, TW13 7ND",51.4306958,-0.4036515
172,ESSO EAST MOLESEY (MFG PALACE),1328,"HAMPTON COURT ROAD, KT8 9BW",51.4075713,-0.3465186
173,SHELL FELTHAM (SHELL SUNBURY),1237,"COUNTRY WAY, TW13 6QN",51.4340866,-0.3883476
174,BP EAST MOLESEY (HAMPTON COURT SF CONNECT),1327,"HAMPTON COURT WAY, KT8 9AE",51.401305,-0.3433674
175,ESSO STAINES ROAD WEST (MFG HERDS GARAGE),1210,"STAINES ROAD WEST, TW15 1RZ",51.4223369,-0.4446801
176,ESSO HOUNSLOW ROAD (MFG JOLLY SAILOR),1426,"HOUNSLOW ROAD, TW13 6QA",51.4353697,-0.3920036
177,BP STAINES ROAD WEST (ASHFORD SF CONNECT),1211,"STAINES ROAD WEST, TW15 1RA",51.42327,-0.44831
178,SAINSBURYS ST CLARES,1427,"UXBRIDGE ROAD, TW12 1AW",51.43509220000001,-0.375823
179,TESCO FELTHAM,17585,"HIGH STREET, TW13 4EX",51.4426273,-0.4132004
180,SHELL STAINES ROAD (SHELL HOSPITAL BRIDGE),1431,"STAINES ROAD, TW2 5JA",51.4393967,-0.3622583
181,GULF FELTHAM (BEDFONT LANE SERVICE STATION),12295,"BEDFONT LANE, TW14 9NJ",51.4500705,-0.4174815
182,ESSO TWICKENHAM (MFG STAINES ROAD),1432,"STAINES ROAD, TW2 5AW",51.4421329,-0.3527403
183,SHELL ASHFORD (SHELL ASHFORD MANOR),1223,"FORDBRIDGE ROAD, TW15 3RX",51.42819799999999,-0.469386
184,BP CHERTSEY (CHERTSEY SERVICE STATION),1216,"BRIDGE ROAD, KT16 8LA",51.3889571,-0.4889738
185,ESSO STAINES ROAD (MFG BEDFONT),1227,"STAINES ROAD, TW14 8PA",51.4513359,-0.4376115
186,ESSO CLOCKHOUSE LANE (CLOCKHOUSE SERVICE STATION),1225,"CLOCKHOUSE LANE, TW14 8RD",51.448216,-0.447778
187,JET FELTHAM (BARBERBRIDGE SERVICE STATION),1230,"STAINES ROAD, TW14 0HW",51.4586652,-0.4024487
188,TESCO FELTHAM DUKES GREEN,17587,"DUKES GREEN AVENUE, TW14 0LT",51.4593269,-0.4133489
189,SHELL RICHMOND ROAD (SHELL KINGSTONIAN),197,"RICHMOND ROAD, KT2 5HD",51.4196673,-0.3016747
190,TESCO ASHFORD MIDDLESEX,12298,"TOWN LANE, TW19 7PZ",51.4447931,-0.475784
191,BP KINGSTON-UPON-THAMES (HAM CROSS SERVICE STATION),1434,"RICHMOND ROAD, KT2 5QU",51.4303655,-0.3073496
192,ESSO STAINES ROAD (MFG HOUNSLOW),1240,"STAINES ROAD, TW4 5BD",51.4644723,-0.3810563
193,SAINSBURYS CHERTSEY,1218,"HERIOT ROAD, KT16 9AG",51.3905002,-0.5041004
194,SHELL RICHMOND ROAD (SHELL OAK LANE),1436,"RICHMOND ROAD, TW1 3AB",51.448488,-0.325308
195,BP FELTHAM (MFG HATTON CROSS),1226,"GREAT SOUTH WEST ROAD, TW14 0PR",51.46569,-0.42381
